objectid,parentid,title,type,date,creator,is_part_of,publication_place,trove_url,source_url,abstract,description,subject,extent,format,language,rights,location,latitude,longitude,filename,pages
work-234220414-0,work-234220414,CYCLONE (1 April 1972),Article/Journal or magazine article;Article,1972,Australian Geographical Society. 124143 421c3670-a164-5721-8ebb-e16110b2ed57; AUDREY M. ARMITAGE,Walkabout.; series: Rex Nan Kivell Collection,Australia/Victoria; Australia,https://trove.nla.gov.au/work/234220414,https://nla.gov.au/nla.obj-754991752,,,Australia--Description and travel--Periodicals.; Cultural heritage.--aiatsiss; New Zealand (NZ)--aiatsisp,,image/jpeg,,,,,,work-234220414-0.jpg,
work-234220414-1,work-234220414,CYCLONE (1 April 1972),Article/Journal or magazine article;Article,1972,Australian Geographical Society. 124143 421c3670-a164-5721-8ebb-e16110b2ed57; AUDREY M. ARMITAGE,Walkabout.; series: Rex Nan Kivell Collection,Australia/Victoria; Australia,https://trove.nla.gov.au/work/234220414,https://nla.gov.au/nla.obj-754991752,,,Australia--Description and travel--Periodicals.; Cultural heritage.--aiatsiss; New Zealand (NZ)--aiatsisp,,image/jpeg,,,,,,work-234220414-1.jpg,
work-233704792,,AROUND MELBOURNE Where is the Eye of Monique? (22 October 1966),Article/Journal or magazine article;Article,1966,,The bulletin.; series: John Ryan Comic Collection (Specific issues).,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/233704792,https://nla.gov.au/nla.obj-703983166,,,Australian newspapers--New South Wales--Sydney.; Australia New South Wales; u-at-ne,,image/jpeg,,,,,,work-233704792-0.jpg,
work-236350367,,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,compound_object,,,,,,,
work-236350367-0,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-0.jpg,
work-236350367-1,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-1.jpg,
work-236350367-2,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-2.jpg,
work-236350367-3,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-3.jpg,
work-236350367-4,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-4.jpg,
work-236350367-5,work-236350367,OBITER DICTA (10 January 1923),Article/Journal or magazine article;Article,1923,,"The Triad : a journal devoted to literacy, pictorial, musical and dramatic art.",Australia/New South Wales; Australia,https://trove.nla.gov.au/work/236350367,https://nla.gov.au/nla.obj-1247979836,,,Australian literature--20th century--Periodicals.; Art--Australia--Periodicals.; Music--Australia--Periodicals.,,image/jpeg,,,,,,work-236350367-5.jpg,
